Year;MonthOfYear;DayOfMonth;HourOfDay(UTC);DayOfYear;DayOfCentury;AirPressure(hPa);AirTemperature(C);AirTemperatureHygroClip(C);RelativeHumidity_wrtWater(%);RelativeHumidity(%);WindSpeed(m/s);WindDirection(d);ShortwaveRadiationDown(W/m2);ShortwaveRadiationDown_Cor(W/m2);ShortwaveRadiationUp(W/m2);ShortwaveRadiationUp_Cor(W/m2);Albedo_theta<70d;LongwaveRadiationDown(W/m2);LongwaveRadiationUp(W/m2);CloudCover;SurfaceTemperature(C);HeightSensorBoom(m);HeightStakes(m);DepthPressureTransducer(m);DepthPressureTransducer_Cor(m);IceTemperature1(C);IceTemperature2(C);IceTemperature3(C);IceTemperature4(C);IceTemperature5(C);IceTemperature6(C);IceTemperature7(C);IceTemperature8(C);TiltToEast(d);TiltToNorth(d);TimeGPS(hhmmssUTC);LatitudeGPS((dd)mm.mmmmm);LongitudeGPS((dd)mm.mmmmm);ElevationGPS(m);HorDilOfPrecGPS;LoggerTemperature(C);FanCurrent(mA);BatteryVoltage(V)
2020;9;15;14;-999;-999;847;-4.38;34.96;92;92;19.04;149.8;297.9;-999;248;-999;-999;-9.3;-3.4;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;15;15;-999;-999;846;-4.3;34.99;92.4;92.4;18.95;150.1;251.2;-999;208.7;-999;-999;-10.9;-3.1;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;15;16;-999;-999;845;-3.8;35.53;92.9;92.9;18.47;153.4;231.4;-999;191.5;-999;-999;-12.2;-3.3;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;15;17;-999;-999;845;-3.43;35.83;93.6;93.6;19.05;152.9;156.1;-999;128;-999;-999;-19.5;-2.7;-999;-999;2.533;1.086;-9999;-999;-32.78;-31.64;-32.06;-32.87;-33.67;-34.22;-34.67;-35.13;-2.69;2.85;-999;-999;-999;1263;.8;-999;153;14.3
2020;9;15;18;-999;-999;845;-3.11;36.23;92.7;92.7;18.24;166.1;162.1;-999;132.4;-999;-999;-15.9;-3;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;15;19;-999;-999;846;-2.88;36.42;89.9;89.9;15.8;163.5;116.1;-999;94;-999;-999;-17.5;-3.5;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;15;20;-999;-999;847;-3.21;36.06;90;90;15.57;157.7;34.6;-999;27.8;-999;-999;-27.8;-3.1;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;15;21;-999;-999;847;-3.44;35.81;92.1;92.1;16.7;155.4;7.4;-999;6.2;-999;-999;-19.7;-2;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;15;22;-999;-999;847;-3.67;35.56;89.8;89.8;15.97;160.4;.1;-999;.4;-999;-999;-22.9;-2.5;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;15;23;-999;-999;847;-3.76;35.5;90.9;90.9;16.61;151.5;-.2;-999;.2;-999;-999;-19.2;-2.2;-999;-999;0;1.085;-9999;-999;-32.78;-31.73;-32.12;-32.84;-33.66;-34.22;-34.69;-35.13;-2.72;3.02;-999;-999;-999;1266;.8;-999;139;13.52
